iter	Logloss
0	0.6549223866
1	0.6226402098
2	0.5939733523
3	0.5696881541
4	0.5495640143
5	0.5328473934
6	0.5180959603
7	0.506356875
8	0.4956931195
9	0.4863513146
10	0.4786224716
11	0.4718741645
12	0.4659172483
13	0.4607813647
14	0.4566445262
15	0.4526115853
16	0.449129434
17	0.4465685057
18	0.443965591
19	0.4416334483
20	0.4395572929
21	0.4379435355
22	0.4365380905
23	0.4352547113
24	0.434280243
25	0.4334571561
26	0.4323564755
27	0.4316202764
28	0.4311981058
29	0.4304351306
30	0.4299878144
31	0.429279846
32	0.4285918981
33	0.42837012
34	0.4277290869
35	0.4271414243
36	0.4269901077
37	0.4266083673
38	0.4262867947
39	0.4259239337
40	0.4256208781
41	0.4252230887
42	0.4248415435
43	0.4244416494
44	0.4240609385
45	0.423695299
46	0.4231835041
47	0.42280058
48	0.4225636687
49	0.4222882857
50	0.4221440286
51	0.4219227186
52	0.4216218661
53	0.4213659833
54	0.4211399392
55	0.4208465778
56	0.4206657474
57	0.4203613121
58	0.4200018545
59	0.4198257241
60	0.4195438588
61	0.4191889268
62	0.4188798289
63	0.4186243066
64	0.4184433263
65	0.4181646499
66	0.417987095
67	0.4177818205
68	0.4176157681
69	0.4173955259
70	0.417166403
71	0.4170855807
72	0.4167904729
73	0.4165389504
74	0.4164024427
75	0.4161783864
76	0.4159184506
77	0.4157765197
78	0.4156941509
79	0.4155112138
80	0.4153899658
81	0.415140314
82	0.414945434
83	0.4148764149
84	0.4147774402
85	0.4145702654
86	0.4143192122
87	0.4141457485
88	0.4139540851
89	0.4138308523
90	0.4136674044
91	0.4134979223
92	0.4132905484
93	0.4130808202
94	0.4130090793
95	0.4128551012
96	0.4127369002
97	0.4125703477
98	0.4124356067
99	0.4123580344
100	0.412248751
101	0.4121327147
102	0.4120624861
103	0.4119459817
104	0.4117312609
105	0.4116849898
106	0.4115949437
107	0.4115004463
108	0.4112902367
109	0.4110775795
110	0.4109989765
111	0.4109204958
112	0.410708441
113	0.4106251479
114	0.4105732529
115	0.4105423685
116	0.4104951677
117	0.4104447309
118	0.410325329
119	0.4102846979
120	0.4101959369
121	0.4101657514
122	0.4100413066
123	0.409818859
124	0.4096484402
125	0.4094495684
126	0.4093444296
127	0.4092497302
128	0.4090310781
129	0.4090125608
130	0.409012245
131	0.4088097254
132	0.4087170557
133	0.4086992263
134	0.4085085718
135	0.4082847528
136	0.4081367805
137	0.4079103572
138	0.4076931242
139	0.4076025686
140	0.4075483092
141	0.4073657336
142	0.4072285378
143	0.4070821715
144	0.4069745628
145	0.4068416224
146	0.4066493342
147	0.4064499999
148	0.4063440985
149	0.4062330255
150	0.4061301247
151	0.4060535502
152	0.4060057136
153	0.4057737901
154	0.4056239522
155	0.4053901404
156	0.4053476666
157	0.4052479548
158	0.4050984411
159	0.4049279838
160	0.4046205209
161	0.4045592657
162	0.4044258145
163	0.4042275423
164	0.4041205919
165	0.4038017402
166	0.4036930287
167	0.4035033762
168	0.4033375032
169	0.4031566412
170	0.4030573554
171	0.4029174341
172	0.4026678512
173	0.40248749
174	0.4022723522
175	0.4020454471
176	0.4019104023
177	0.4016734733
178	0.4015752958
179	0.4014224122
180	0.4012272931
181	0.4009529311
182	0.4008662298
183	0.4006712775
184	0.4006126029
185	0.400484026
186	0.400387251
187	0.4002476079
188	0.4001128418
189	0.4000018577
190	0.3998556632
191	0.3997112405
192	0.3995480083
193	0.3994681169
194	0.3993165866
195	0.3990767587
196	0.3988856249
