iter	Passed	Remaining
0	53	53189
1	114	57017
2	180	59975
3	263	65494
4	329	65582
5	381	63207
6	485	68884
7	555	68861
8	615	67729
9	669	66274
10	736	66188
11	790	65087
12	841	63922
13	896	63148
14	963	63289
15	1024	62983
16	1079	62421
17	1131	61743
18	1195	61702
19	1247	61130
20	1321	61587
21	1396	62102
22	1465	62245
23	1524	61980
24	1581	61680
25	1630	61075
26	1684	60708
27	1759	61071
28	1779	59599
29	1850	59837
30	1888	59044
31	1954	59114
32	2031	59538
33	2056	58422
34	2122	58511
35	2207	59106
36	2244	58418
37	2353	59591
38	2410	59391
39	2476	59439
40	2528	59132
41	2592	59132
42	2656	59128
43	2731	59349
44	2794	59296
45	2853	59185
46	2906	58936
47	2962	58747
48	3031	58828
49	3107	59041
50	3158	58774
51	3221	58735
52	3305	59065
53	3376	59144
54	3434	59014
55	3500	59001
56	3552	58770
57	3605	58556
58	3665	58457
59	3727	58398
60	3790	58345
61	3862	58434
62	3941	58619
63	3993	58410
64	4060	58405
65	4126	58399
66	4180	58208
67	4245	58187
68	4305	58089
69	4372	58089
70	4434	58028
71	4492	57906
72	4558	57886
73	4611	57705
74	4677	57688
75	4742	57663
76	4794	57477
77	4862	57477
78	4945	57660
79	4998	57478
80	5063	57451
81	5125	57384
82	5179	57222
83	5244	57188
84	5320	57272
85	5384	57229
86	5440	57097
87	5511	57121
88	5583	57150
89	5631	56940
90	5690	56843
91	5769	56938
92	5822	56781
93	5870	56583
94	5922	56420
95	5990	56406
96	6052	56343
97	6116	56297
98	6194	56376
99	6248	56236
100	6311	56180
101	6372	56101
102	6434	56033
103	6502	56021
104	6563	55945
105	6619	55824
106	6671	55679
107	6750	55754
108	6820	55754
109	6881	55674
110	6943	55611
111	7007	55558
112	7075	55540
113	7138	55480
114	7197	55390
115	7261	55341
116	7329	55312
117	7388	55229
118	7438	55069
119	7490	54933
120	7560	54920
121	7626	54884
122	7693	54855
123	7777	54941
124	7835	54849
125	7901	54805
126	7978	54843
127	8047	54826
128	8100	54691
129	8140	54480
130	8174	54222
131	8241	54192
132	8302	54124
133	8343	53921
134	8398	53814
135	8465	53778
136	8526	53713
137	8589	53656
138	8656	53618
139	8704	53473
140	8769	53425
141	8832	53365
142	8897	53325
143	8960	53263
144	9022	53202
145	9088	53159
146	9158	53141
147	9215	53054
148	9282	53017
149	9345	52959
150	9403	52870
151	9490	52945
152	9542	52829
153	9599	52732
154	9661	52672
155	9733	52660
156	9784	52535
157	9838	52432
158	9904	52388
159	9959	52285
160	10026	52249
161	10121	52357
162	10196	52360
163	10276	52386
164	10340	52327
165	10406	52285
166	10472	52234
167	10538	52189
168	10593	52092
169	10646	51978
170	10710	51925
171	10773	51865
172	10842	51828
173	10901	51752
174	10970	51719
175	11034	51663
176	11097	51599
177	11160	51538
